Filename,Prompt,Duration,Note,Style
"bronze-common.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in orange-brown, copper, bronze colors, matte finish, simple design. The device has a light green pixelated screen displaying simple pixelated pet face, basic colors, no special effects. Below the screen are darker orange-brown round buttons. plain device, no decorations. The device has a small keychain loop at the top. retro 8-bit Tamagotchi device, common rarity with completely static device. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Completely static device, no animation, perfect for extracting first frame as image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Static device - use first frame","Tamagotchi device with screen and buttons"
"bronze-uncommon.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in orange-brown, copper, bronze colors, matte finish, simple design. The device has a light green pixelated screen displaying happy pixelated pet face, better colors, slight glow on screen. Below the screen are darker orange-brown round buttons. small star decoration above keychain loop. The device has a small keychain loop at the top. retro 8-bit Tamagotchi device, uncommon rarity with very subtle screen glow pulse. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only gentle screen glow, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"bronze-rare.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in orange-brown, copper, bronze colors, matte finish, simple design. The device has a light green pixelated screen displaying happy pixelated pet face, glowing screen, magical aura around pet. Below the screen are darker orange-brown round buttons. decorative elements, subtle shine on body. The device has a small keychain loop at the top. retro 8-bit Tamagotchi device, rare rarity with gentle glowing pulse on screen and buttons. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only glowing pulse on screen, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"bronze-epic.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in orange-brown, copper, bronze colors, matte finish, simple design. The device has a light green pixelated screen displaying happy pixelated pet face, bright glowing screen, particle effects around pet. Below the screen are darker orange-brown round buttons. decorative patterns, sparkles on body, premium look. The device has a small keychain loop at the top. retro 8-bit Tamagotchi device, epic rarity with animated particles on screen, glowing effects. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only particle effects on screen, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"bronze-legendary.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in orange-brown, copper, bronze colors, matte finish, simple design. The device has a light green pixelated screen displaying happy pixelated pet face, maximum glow, legendary aura, particle effects. Below the screen are darker orange-brown round buttons. luxury decorations, golden accents, premium finish, special design. The device has a small keychain loop at the top. retro 8-bit Tamagotchi device, legendary rarity with dramatic lighting, legendary aura effects, animated particles. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only legendary aura effects, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"silver-common.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in silver, metallic gray, chrome colors, shiny metallic finish, medium detail. The device has a light blue pixelated screen displaying simple pixelated pet face, basic colors, no special effects. Below the screen are dark silver round buttons. plain device, no decorations. The device has a small keychain loop at the top. retro 16-bit Tamagotchi device, common rarity with completely static device. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Completely static device, no animation, perfect for extracting first frame as image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Static device - use first frame","Tamagotchi device with screen and buttons"
"silver-uncommon.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in silver, metallic gray, chrome colors, shiny metallic finish, medium detail. The device has a light blue pixelated screen displaying happy pixelated pet face, better colors, slight glow on screen. Below the screen are dark silver round buttons. small star decoration above keychain loop. The device has a small keychain loop at the top. retro 16-bit Tamagotchi device, uncommon rarity with very subtle screen glow pulse. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only gentle screen glow, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"silver-rare.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in silver, metallic gray, chrome colors, shiny metallic finish, medium detail. The device has a light blue pixelated screen displaying happy pixelated pet face, glowing screen, magical aura around pet. Below the screen are dark silver round buttons. decorative elements, subtle shine on body. The device has a small keychain loop at the top. retro 16-bit Tamagotchi device, rare rarity with gentle glowing pulse on screen and buttons. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only glowing pulse on screen, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"silver-epic.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in silver, metallic gray, chrome colors, shiny metallic finish, medium detail. The device has a light blue pixelated screen displaying happy pixelated pet face, bright glowing screen, particle effects around pet. Below the screen are dark silver round buttons. decorative patterns, sparkles on body, premium look. The device has a small keychain loop at the top. retro 16-bit Tamagotchi device, epic rarity with animated particles on screen, glowing effects. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only particle effects on screen, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
"silver-legendary.png","A cute retro pixel art Tamagotchi virtual pet device, egg-shaped body in silver, metallic gray, chrome colors, shiny metallic finish, medium detail. The device has a light blue pixelated screen displaying happy pixelated pet face, maximum glow, legendary aura, particle effects. Below the screen are dark silver round buttons. luxury decorations, golden accents, premium finish, special design. The device has a small keychain loop at the top. retro 16-bit Tamagotchi device, legendary rarity with dramatic lighting, legendary aura effects, animated particles. White background, 1000x1000px, clean illustration, front view, isometric perspective, game device aesthetic, NFT art style. Very subtle animation: only legendary aura effects, perfect for extracting first frame as high-quality static image. Duration: 1-2 seconds, first frame is the main image.","1-2 seconds","Subtle animation - use first frame","Tamagotchi device with screen and buttons"
